"","Obs_Index","Behavior","Initiator_ID","Recipient_ID","Score","Notes","Initiator_Gender","Recipient_Gender","Initiator_Age_Group","Initiator_Age","Recipient_Age_Group","Recipient_Age","Initiator_Age_cut","Recipient_Age_cut","Initiator_To_Recipient","lumped_behavior","refined_behavior","y","init_id","recp_id","init_g","recp_g","init_age_z","recp_age_z"
"784",97,"ownership assertion","100","103","0.5",NA,"M","F","child",3,"child",1,"(0,3]","(0,3]","Older","ownership assertion","ownership assertion_0.5",22,75,84,0,1,-1.03880934289705,-1.6959430992975
"785",97,"ownership acknowledgement","103","100","0.0",NA,"F","M","child",1,"child",3,"(0,3]","(0,3]","Younger","ownership acknowledgement_0.0","ownership acknowledgement_0.0",21,76,85,1,0,-1.94212181498144,-0.839287968955946
"793",97,"request for sharing","97","87","0.5",NA,"F","M","child",8,"child",9,"(6,9]","(6,9]","Younger","request for sharing","request for sharing_0.5",37,74,137,1,0,1.21947183731393,1.73067742206873
"794",97,"sharing","87","97","0.5",NA,"M","F","child",9,"child",8,"(6,9]","(6,9]","Older","sharing","sharing_0.5",39,131,82,0,1,1.67112807335612,1.30234985689795
"795",98,"scolding","498","201","0.5",NA,"F","M","child",6,"child",2,"(3,6]","(0,3]","Older","scolding","scolding_0.5",38,86,23,1,0,0.316159365229537,-1.26761553412673
"796",98,"scolding","201","498","0.5",NA,"M","F","child",2,"child",6,"(0,3]","(3,6]","Younger","scolding","scolding_0.5",38,38,94,0,1,-1.49046557893925,0.445694726556393
"797",98,"dominating","194","211","0.5",NA,"M","M","child",3,"child",2,"(0,3]","(0,3]","Older","dominating","dominating_0.5",5,8,138,0,0,-1.03880934289705,-1.26761553412673
"798",98,"helping","201","194","0.5",NA,"M","M","child",2,"child",3,"(0,3]","(0,3]","Younger","helping","helping_0.5",14,38,9,0,0,-1.49046557893925,-0.839287968955946
"799",98,"leading","194","201","0.5",NA,"M","M","child",3,"child",2,"(0,3]","(0,3]","Older","leading","leading_0.5",16,8,23,0,0,-1.03880934289705,-1.26761553412673
"800",98,"following","201","194","0.5",NA,"M","M","child",2,"child",3,"(0,3]","(0,3]","Younger","following","following_0.5",6,38,9,0,0,-1.49046557893925,-0.839287968955946
"801",98,"request for help","211","194","0.5",NA,"M","M","child",2,"child",3,"(0,3]","(0,3]","Younger","request for help","request for help_0.5",33,132,9,0,0,-1.49046557893925,-0.839287968955946
"802",98,"helping","194","211","0.0",NA,"M","M","child",3,"child",2,"(0,3]","(0,3]","Older","helping_0.0","helping_0.0",15,8,138,0,0,-1.03880934289705,-1.26761553412673
"803",98,"request for sharing","211","194","0.5",NA,"M","M","child",2,"child",3,"(0,3]","(0,3]","Younger","request for sharing","request for sharing_0.5",37,132,9,0,0,-1.49046557893925,-0.839287968955946
"804",98,"sharing","194","211","0.0",NA,"M","M","child",3,"child",2,"(0,3]","(0,3]","Older","sharing_0.0","sharing_0.0",40,8,138,0,0,-1.03880934289705,-1.26761553412673
"805",99,"scolding","172","178","0.5",NA,"F","F","child",7,"child",5,"(6,9]","(3,6]","Older","scolding","scolding_0.5",38,16,72,1,1,0.767815601271733,0.0173671613856132
"806",100,"leading","193","194","1.0",NA,"F","M","child",5,"child",3,"(3,6]","(0,3]","Older","leading","leading_1.0",16,6,9,1,0,-0.135496870812659,-0.839287968955946
"807",100,"following","194","193","1.0",NA,"M","F","child",3,"child",5,"(0,3]","(3,6]","Younger","following","following_1.0",6,8,6,0,1,-1.03880934289705,0.0173671613856132
"808",100,"leading","193","201","1.0",NA,"F","M","child",5,"child",2,"(3,6]","(0,3]","Older","leading","leading_1.0",16,6,23,1,0,-0.135496870812659,-1.26761553412673
"809",100,"following","201","193","0.5","the last time didn't listen","M","F","child",2,"child",5,"(0,3]","(3,6]","Younger","following","following_0.5",6,38,6,0,1,-1.49046557893925,0.0173671613856132
"819",101,"dominating","122","7","0.5",NA,"M","M","child",7,"child",3,"(6,9]","(0,3]","Older","dominating","dominating_0.5",5,42,95,0,0,0.767815601271733,-0.839287968955946
"820",101,"submitting","7","122","0.5",NA,"M","M","child",3,"child",7,"(0,3]","(6,9]","Younger","submitting","submitting_0.5",42,88,45,0,0,-1.03880934289705,0.874022291727172
