"","mean","sd","2.5%","97.5%","n_eff","Rhat4","combined"
"z_recp_id[18,47]",-0.0146999316210933,0.972886613416069,-1.9095135,1.89188225,30007.6734945908,0.999874755116527,"-0.015 (0.973)"
"z_recp_id[18,48]",0.191064801668067,0.99811991117735,-1.7445375,2.15217725,28209.7115315591,0.999854093991777,"0.191 (0.998)"
"z_recp_id[18,49]",0.0911844117438293,1.0055234319078,-1.89739575,2.05983225,31115.6408836871,1.00002961309279,"0.091 (1.006)"
"z_recp_id[18,50]",0.124263491861467,0.978580160031955,-1.8055935,2.0243025,29248.3604563707,0.999908767032626,"0.124 (0.979)"
"z_recp_id[18,51]",-0.22088798519744,0.990176611036725,-2.13634975,1.752478,24733.7724053865,0.999875308224768,"-0.221 (0.99)"
"z_recp_id[18,52]",-0.0284378197758,1.00666333121915,-2.00474375,1.9457885,26909.3743512929,0.999968477011225,"-0.028 (1.007)"
"z_recp_id[18,53]",-0.0158399119777133,0.982388657666574,-1.9737835,1.911969,29142.8485286651,1.00006587684248,"-0.016 (0.982)"
"z_recp_id[18,54]",0.05565612935162,0.988053369420455,-1.89529175,1.98988075,29113.8586211497,0.99987398033144,"0.056 (0.988)"
"z_recp_id[18,55]",0.0890126848307,1.00370017238428,-1.88886875,2.084771,29292.3181191868,1.00010542993435,"0.089 (1.004)"
"z_recp_id[18,56]",0.00993586515678668,0.985502931324303,-1.93504225,1.9570215,29220.8932936628,0.999908461275064,"0.01 (0.986)"
"z_recp_id[18,57]",-0.0282759136906667,0.993702349920546,-1.951278,1.923935,28994.0228021372,0.999857330917091,"-0.028 (0.994)"
"z_recp_id[18,58]",0.0616462911266666,0.986241182101205,-1.906127,2.01531775,28862.6655876133,0.999974687489295,"0.062 (0.986)"
"z_recp_id[18,59]",-0.0968564985610487,1.00179984758714,-2.05710625,1.87919625,28359.2621531018,0.999853753532868,"-0.097 (1.002)"
"z_recp_id[18,60]",0.0952389155044667,0.985896281287854,-1.868417,2.044542,27118.6041465296,0.999874434216453,"0.095 (0.986)"
"z_recp_id[18,61]",-0.0856311941612667,0.991928566209713,-2.00906525,1.82624875,28496.3039511361,0.999928704498337,"-0.086 (0.992)"
"z_recp_id[18,62]",0.220422329542333,0.994871005539777,-1.7390835,2.16811775,24396.0451516576,0.999910392897488,"0.22 (0.995)"
"z_recp_id[18,63]",-0.0151763811057433,0.999191012213012,-1.9566045,1.95467825,28199.2089233972,0.999895674940859,"-0.015 (0.999)"
"z_recp_id[18,64]",-0.06233485714682,0.99576246848415,-1.9902405,1.90849325,28589.4613553205,0.999937563444999,"-0.062 (0.996)"
"z_recp_id[18,65]",-0.166436057459533,0.980269206267418,-2.08727175,1.73212925,26399.739066602,0.99985640583384,"-0.166 (0.98)"
"z_recp_id[18,66]",-0.00951809955476669,0.981249075308434,-1.9175355,1.9092525,26693.4587992066,0.999868790569738,"-0.01 (0.981)"
"z_recp_id[18,67]",0.0541450469733333,0.971487244148479,-1.861261,1.98392025,28007.6538657635,0.999944490081707,"0.054 (0.971)"
"z_recp_id[18,68]",0.0501799514776,0.969520979757509,-1.83801,1.94529775,26922.5563023924,0.999811563160531,"0.05 (0.97)"
"z_recp_id[18,69]",-0.02984963064356,0.979614848682226,-1.93213825,1.89157925,28333.9350761086,1.00006522549926,"-0.03 (0.98)"
"z_recp_id[18,70]",-0.04329992881112,0.980242513114238,-1.9636905,1.8983715,29275.5431282224,1.00000808590391,"-0.043 (0.98)"
"z_recp_id[18,71]",0.0308655105690533,0.978185348169507,-1.9039785,1.9368295,27036.2078526694,0.999943795418535,"0.031 (0.978)"
"z_recp_id[18,72]",0.00180261012775087,0.996127479678286,-1.9448865,1.94862275,31048.5897704893,0.999873140700383,"0.002 (0.996)"
"z_recp_id[18,73]",0.251503719083333,1.00787217328116,-1.7292305,2.21280125,26124.3036814746,0.99989679400242,"0.252 (1.008)"
"z_recp_id[18,74]",-0.108495434229693,1.01327128371358,-2.08802925,1.912358,30418.7436058129,0.999835736501955,"-0.108 (1.013)"
"z_recp_id[18,75]",0.0192887046371,0.97399704290954,-1.89477225,1.9219965,29782.9587640366,0.999892626732022,"0.019 (0.974)"
"z_recp_id[18,76]",-0.188163857448273,0.991241459185971,-2.1205025,1.746842,25199.7516505618,0.999961666046263,"-0.188 (0.991)"
"z_recp_id[18,77]",-0.05990175307136,0.9800845638355,-1.97823275,1.8751665,27893.5714262295,1.0000076162271,"-0.06 (0.98)"
"z_recp_id[18,78]",0.24441434118564,1.00751808143358,-1.72407475,2.22645,25947.5112154936,0.999914441101959,"0.244 (1.008)"
"z_recp_id[18,79]",-0.02908938477508,0.990144303426065,-1.9665865,1.914781,30238.6352286484,0.999843850492501,"-0.029 (0.99)"
"z_recp_id[18,80]",-0.106725718388367,0.990755907844996,-2.050509,1.8037145,27182.4793965906,0.999883139030037,"-0.107 (0.991)"
"z_recp_id[18,81]",-0.114414763242133,0.995121431414459,-2.04803375,1.85231075,27477.8388478421,1.00001588927591,"-0.114 (0.995)"
"z_recp_id[18,82]",-0.0698213971997333,0.977039649881984,-1.99400325,1.825924,24228.9530257994,0.999854322624693,"-0.07 (0.977)"
"z_recp_id[18,83]",-0.235691612812893,0.989654305666698,-2.194827,1.73265775,26616.9537967005,0.999961239910878,"-0.236 (0.99)"
"z_recp_id[18,84]",0.236026230197067,0.977277229518598,-1.692941,2.1172945,26157.730361037,0.999825406497808,"0.236 (0.977)"
"z_recp_id[18,85]",-0.241932367117733,0.985996703119489,-2.16840225,1.72187075,25832.5112659383,1.00004115871858,"-0.242 (0.986)"
"z_recp_id[18,86]",-0.0210691884238,1.01845740086674,-2.031013,2.00138875,28094.0678586634,0.999841705336756,"-0.021 (1.018)"
"z_recp_id[18,87]",0.0577134421124733,0.975696882515716,-1.880741,1.9652235,24167.943808118,0.99992259482378,"0.058 (0.976)"
"z_recp_id[18,88]",-0.052036509363462,0.97035686910636,-1.94905125,1.85845025,28304.2121440766,0.999875259290992,"-0.052 (0.97)"
"z_recp_id[18,89]",0.051332019971,0.996271596633128,-1.89752725,2.00847675,27739.4457686526,0.999841819428126,"0.051 (0.996)"
"z_recp_id[18,90]",0.0243314332508667,0.986625868638774,-1.913994,1.9594745,29357.4036208837,0.99989151737731,"0.024 (0.987)"
"z_recp_id[18,91]",-0.112633940866733,0.993343519118153,-2.0935715,1.84399925,26192.0512146979,0.999889675442758,"-0.113 (0.993)"
