"","mean","sd","2.5%","97.5%","n_eff","Rhat4","combined"
"z_init_id[9,200]",-0.0151835703013333,0.990795176595728,-1.97712375,1.92524425,25776.6682810859,0.999838446231646,"-0.015 (0.991)"
"z_init_id[9,201]",0.19223146435,0.993346361939457,-1.7577495,2.149205,22691.3928031178,0.999859681141767,"0.192 (0.993)"
"z_init_id[9,202]",0.24023329462174,1.01038022574909,-1.74336,2.21863775,23608.2883719175,0.99986712774238,"0.24 (1.01)"
"z_init_id[9,203]",0.00545483074306668,0.995271358957654,-1.955829,1.977859,22975.7114877663,0.999921782962298,"0.005 (0.995)"
"z_init_id[9,204]",-0.00898841720785334,0.996612481428412,-1.9950805,1.943482,22749.1130419798,0.999868926456607,"-0.009 (0.997)"
"z_init_id[10,1]",-0.79249517647298,1.03953384411443,-2.75784525,1.344553,7339.94693949102,1.00033620139035,"-0.792 (1.04)"
"z_init_id[10,2]",0.173127260103133,0.963551459137596,-1.71533225,2.0816195,18753.1269567371,0.999908720040813,"0.173 (0.964)"
"z_init_id[10,3]",-0.134897415719627,0.979406782871297,-2.04244325,1.754715,23550.8280886201,1.00001591496378,"-0.135 (0.979)"
"z_init_id[10,4]",0.0400005456115533,1.01346598310599,-1.9436565,2.031492,14338.8198059027,0.999948653186795,"0.04 (1.013)"
"z_init_id[10,5]",0.281405767053667,1.00459692796311,-1.70004175,2.2204505,18433.1158778726,0.9999716656325,"0.281 (1.005)"
"z_init_id[10,6]",0.0382012159277333,1.00955534963327,-1.96982125,2.00694825,21535.6802179867,1.00010585975936,"0.038 (1.01)"
"z_init_id[10,7]",0.360396174343667,0.952752869336347,-1.54039875,2.21238725,14990.6867478231,0.999875115635225,"0.36 (0.953)"
"z_init_id[10,8]",-0.28381298748392,0.954883489463425,-2.1500905,1.5686305,18644.4391121314,1.00014508519999,"-0.284 (0.955)"
"z_init_id[10,9]",-0.115012987538733,0.978598632738501,-2.04620275,1.8117805,15144.3623152658,1.00010487399305,"-0.115 (0.979)"
"z_init_id[10,10]",0.2845686458952,0.942809043662283,-1.610591,2.137364,14406.5783486554,0.999964938411786,"0.285 (0.943)"
"z_init_id[10,11]",-0.0168221499550134,0.923975963019837,-1.85031525,1.765628,17490.9941671101,0.999905583560102,"-0.017 (0.924)"
"z_init_id[10,12]",-0.231372273491333,0.986366680912592,-2.176527,1.6833325,19678.1808549454,1.00015745957709,"-0.231 (0.986)"
"z_init_id[10,13]",-0.1643322611284,0.990418681879769,-2.11094325,1.801203,12987.6240127887,1.00008172350188,"-0.164 (0.99)"
"z_init_id[10,14]",0.421887276509067,0.963962453375994,-1.4895925,2.268286,13942.684661092,1.00021108513164,"0.422 (0.964)"
"z_init_id[10,15]",-0.206036263071867,0.984308878856781,-2.14460375,1.736756,20639.003561651,0.999960881973435,"-0.206 (0.984)"
"z_init_id[10,16]",0.157355271779467,0.955708374901737,-1.69009,2.03726925,15678.3603615619,0.99994838710731,"0.157 (0.956)"
"z_init_id[10,17]",0.35535514177698,0.939358627765236,-1.54709625,2.18452125,12949.4318054637,1.00024330514626,"0.355 (0.939)"
"z_init_id[10,18]",0.539039470741867,0.990610997479805,-1.45630075,2.4236085,11909.3158072736,1.00015720123156,"0.539 (0.991)"
"z_init_id[10,19]",0.1654562760884,0.916342274523603,-1.66145275,1.935142,16592.1847651047,1.00007618860365,"0.165 (0.916)"
"z_init_id[10,20]",0.183750450788529,0.920396837200474,-1.65590225,1.9648125,16289.2382639524,1.00026095230934,"0.184 (0.92)"
"z_init_id[10,21]",-0.0224459046584867,0.922956261156411,-1.841004,1.788097,21149.7066665442,0.999836628935722,"-0.022 (0.923)"
"z_init_id[10,22]",-0.4508310451459,1.02882330462838,-2.449439,1.61773525,9314.86843950187,1.00006033503278,"-0.451 (1.029)"
"z_init_id[10,23]",-0.248916118451467,0.978037432056745,-2.18689,1.7024565,16323.3550802883,0.999942450579912,"-0.249 (0.978)"
"z_init_id[10,24]",0.261403867436627,0.972926615307399,-1.66523025,2.13270675,17687.8725748137,1.00006998146396,"0.261 (0.973)"
"z_init_id[10,25]",-0.296381071266393,0.988845124764044,-2.23966225,1.6483075,15132.2408778387,0.999945437207064,"-0.296 (0.989)"
"z_init_id[10,26]",0.0538744653648,0.946634075088944,-1.82912575,1.8820145,17362.2422096105,0.999849232530966,"0.054 (0.947)"
"z_init_id[10,27]",0.297687604538667,0.969131959627566,-1.643097,2.198677,14946.483724632,0.999855704956724,"0.298 (0.969)"
